direction,entry_time,entry_price,sl_price,tp_price,sl_distance,risk_amount,macd_line,macd_sig,exit_price,exit_time,result,pnl,capital,year
SELL,2024-02-23 10:00:00,2020.55,2022.67,2018.43,2.12,755.43,-1.5927,-1.3389,2018.43,2024-02-23 10:45:00,TP,755.43,25936.29,2024
SELL,2024-02-26 03:45:00,2031.31,2034.11,2028.51,2.8,778.09,-0.7848,-0.2258,2034.11,2024-02-26 07:45:00,SL,-778.09,25158.2,2024
BUY,2024-02-26 09:00:00,2034.11,2032.22,2036.0,1.89,754.75,0.2398,-0.0543,2036.0,2024-02-26 10:15:00,TP,754.75,25912.95,2024
BUY,2024-03-01 09:00:00,2048.46,2046.31,2050.61,2.15,777.39,1.0009,0.7052,2046.31,2024-03-01 09:30:00,SL,-777.39,25135.56,2024
BUY,2024-03-05 13:00:00,2126.77,2122.54,2131.0,4.23,754.07,3.9763,3.5216,2122.54,2024-03-05 14:15:00,SL,-754.07,24381.49,2024
BUY,2024-03-08 07:30:00,2158.09,2156.39,2159.79,1.7,731.44,-0.4081,-0.47,2156.39,2024-03-08 08:00:00,SL,-731.44,23650.05,2024
BUY,2024-03-13 14:00:00,2164.56,2162.21,2166.91,2.35,709.5,1.6989,1.0463,2162.21,2024-03-13 15:15:00,SL,-709.5,22940.55,2024
SELL,2024-03-14 05:15:00,2172.36,2174.04,2170.68,1.68,688.22,0.0165,0.5589,2170.68,2024-03-14 07:00:00,TP,688.22,23628.77,2024
BUY,2024-03-19 14:30:00,2157.9,2150.68,2165.12,7.22,708.86,-0.2627,-1.0059,2150.68,2024-03-19 15:45:00,SL,-708.86,22919.91,2024
SELL,2024-03-20 08:15:00,2156.58,2158.22,2154.94,1.64,687.6,-0.1203,0.2471,2158.22,2024-03-20 09:00:00,SL,-687.6,22232.31,2024
SELL,2024-03-20 14:00:00,2153.13,2155.24,2151.02,2.11,666.97,-1.3602,-1.2361,2151.02,2024-03-20 14:30:00,TP,666.97,22899.28,2024
SELL,2024-04-04 10:00:00,2294.71,2297.36,2292.06,2.65,686.98,-0.8724,-0.0486,2297.36,2024-04-04 10:30:00,SL,-686.98,22212.3,2024
BUY,2024-04-09 04:00:00,2343.26,2337.78,2348.74,5.48,666.37,2.2359,2.0344,2348.74,2024-04-09 10:00:00,TP,666.37,22878.67,2024
BUY,2024-04-18 09:45:00,2380.62,2376.59,2384.65,4.03,686.36,2.7307,1.93,2376.59,2024-04-18 10:30:00,SL,-686.36,22192.31,2024
BUY,2024-04-18 16:15:00,2390.88,2382.58,2399.18,8.3,665.77,3.3484,2.6462,2382.58,2024-04-18 16:30:00,SL,-665.77,21526.54,2024
SELL,2024-04-22 08:30:00,2361.46,2370.44,2352.48,8.98,645.8,-6.378,-5.9974,2352.48,2024-04-22 09:45:00,TP,645.8,22172.34,2024
BUY,2024-04-25 14:30:00,2330.36,2326.75,2333.97,3.61,665.17,3.2417,3.041,2326.75,2024-04-25 15:00:00,SL,-665.17,21507.17,2024
BUY,2024-04-26 10:15:00,2344.19,2338.1,2350.28,6.09,645.22,3.3716,2.5553,2350.28,2024-04-26 12:00:00,TP,645.22,22152.39,2024
SELL,2024-04-29 16:30:00,2330.84,2336.55,2325.13,5.71,664.57,-1.3308,0.2335,2336.55,2024-04-29 17:00:00,SL,-664.57,21487.82,2024
